날짜,제목
2024-11-01,무공해차 통합누리집 홈페이지 계정 이름 변경 요청
2024-11-01,중고차구매 / 이미 등록된 차량
2024-11-01,중고차 구매.이미등록된 차량번호
2024-11-01,차량 번호 변경 요청의 건
2024-10-31,차량번호 수정부탁드립니다.
2024-10-31,회원카드 차량번호 변경요청의 건
2024-10-31,차량번호 등록
2024-10-31,가까운 충전소 찾기시 충전기 위치가 실제와 다름
2024-10-31,법인 회원가입 및 법인 카드 발급 문의
2024-10-31,회원카드 태그시 회원 확인 에러
2024-10-31,법인 전기차 담당자 변경
2024-10-31,충전카드
2024-10-31,카드발급시 이미 등록된 차량번호로 나옵니다(중고차량 구입)
2024-10-31,결제카드 등록
2024-10-30,회원카드 차량번호 변경 요청
2024-10-30,카드 발급완료
2024-10-30,환경부카드 발급시 이미 등록된 차량번호(중고차) 해결 요청드립니다.
2024-10-30,오늘 받은 회원카드를 등록하려 하는데
2024-10-30,차량번호 수정
2024-10-30,회원카드 차량번호 변경
2024-10-30,[재문의] 결제금액 확인 요청
2024-10-30,차량구입후 차량번호등록
2024-10-30,공공데이터 문의
2024-10-30,전기차량 충전이용 요금 조회
2024-10-30,회원카드 재발급요청
2024-10-30,회원가입하려는데
2024-10-30,차량판매후 카드폐기
2024-10-29,카드에 등록된 차량번호 변경
2024-10-29,카드 발급 후 차량번호 등록 관련
2024-10-29,차량번호 변경 문의 드립니다
2024-10-29,중고차 전차주해지요청
2024-10-29,충전기 카드 차량 번호변경 요청
2024-10-29,회원카드정보 이전
2024-10-29,전기차 중고구매로 인한 카드 발급
2024-10-29,차량번호 변경 요청
2024-10-29,차량번호 변경 요청합니다
2024-10-29,"충전카드 파손, 재발급 문의"
2024-10-28,차량번호 변경요청
2024-10-28,차량번호 변경 요청
2024-10-28,차량번호 변경 요청
2024-10-28,차량번호 변경 요청
2024-10-28,차량번호 변경 요청
2024-10-28,회원카드 재배송 주소
2024-10-28,회원 차량번호 변경
2024-10-28,충전카드 분실 및 재발급 문의
2024-10-28,2채널 충전기에 대하여
2024-10-28,카드발급
2024-10-28,회원 차량번호 변경
2024-10-28,회원카드 미수령
2024-10-28,충전카드 분실
2024-10-28,법인카드
2024-10-28,중고차량 구매후 카드신청 문의
2024-10-28,카드분실
2024-10-28,중고차 구입후 회원카드 신청
2024-10-28,회원카드 재발급
2024-10-27,중고차 구매 후 차량번호 중복으로 인한 가입 불가능
2024-10-27,가상 차대번호 말고 전기차 실물번호 등록변경요청합니다
2024-10-27,차량번호 중복으로 카드 발급이 안됨니다.
2024-10-27,회원카드 차량번호 변경
2024-10-27,회원카드 차량번호 변경 요청
2024-10-27,결제금액 확인 요청
2024-10-26,중고차 구매후 카드발급 하려는데 차량번호 중복으로 발급이 안됩니다.
2024-10-26,충전 시 비밀번호 입력 문의의 건
2024-10-26,회원카드 차량번호 수정방법
2024-10-26,중고 전기차 구매 후 회원카드 발급문의
2024-10-26,회원카드 비밀번호 확인
2024-10-25,회원카드 변경 요청 드립니다.
2024-10-25,중고차 구입 후 기존 회원카드 재발급
2024-10-25,충전카드 배송 조회는 어떻게 하나요?
2024-10-25,중고차 구입후 회원카드 신청
2024-10-25,중고차 구매후 이미 등록된 번호
2024-10-25,중고차를 구입했는데 차량중복번호 라고 카드 신청이 안됩니다.
2024-10-24,중고차 구매 후 카드 신청 문의
2024-10-24,회원카드 차량번호 변경
2024-10-24,회원카드 차량번호 변경
2024-10-24,중고차 구매로 인한 변경문의
2024-10-24,자동차 번호 변경
2024-10-24,중고차 구매 후 등록된 번호라고 카드 신청이 안됩니다.
2024-10-24,중고차 구매 차량 번호 중복 및 추가 신차 구매시 카드 사용 방법
2024-10-23,중고차 구입하였으나 차량번호 중복으로 나옵니다.
2024-10-23,결제카드등록
2024-10-23,회원카드 분실했는데 재발급 관련 문의 드립니다
2024-10-23,회원카드 등록된 차량번호 변경
2024-10-23,회원카드 차량번호 변경
2024-10-23,중고차로 구입했는데 중복으로 카드등록이 안됩니다 해결해주세요
2024-10-23,모바일 카드 결제
2024-10-23,10원단위 미만 절사 관련
2024-10-23,회원카드에 등록된 차량 번호 변경
2024-10-23,회원카드 재배송 받을 주소
2024-10-22,결제카드 등록이요
2024-10-22,차량번호변경
2024-10-22,카드 분실로 인한 재발급
2024-10-22,"실물카드,모바일 카드(정지처리) 중복 등록"
2024-10-22,회원카드 언제도착할까요
2024-10-22,회원카드 미수령
2024-10-22,카드신청 취소
2024-10-22,멤버십카드 등록은 어디서하나요?
2024-10-22,회원카드를 분실 했는데 재발급이 가능한지 궁금 합니다
2024-10-22,차량번호 변경
2024-10-22,이용요금 조회가 안됩니다
2024-10-22,차량번호를변경하고싶은데요
2024-10-22,이미등록된차량이라서
2024-10-22,회원 카드 신청했는데 수령하지 않았는데 발급완료로 떴습니다
2024-10-21,중고차 구매했는데 차량번호 중복으로 카드신청이 안됩니다.
2024-10-21,중고로 전기차를 구매했는데 등록이 안되네요
2024-10-21,결제카드 등록이 안되요
2024-10-21,결재카드 차량번호 교체
2024-10-21,차량번호 변경
2024-10-21,차량번호 변경
2024-10-21,차량번호 변경 부탁드립니다.
2024-10-21,차량 번호 변경 요청
2024-10-21,충전요금 단가 확인
2024-10-21,차량 사용자가 변경되어 카드를 신청하려고 하는데 중복된 차량이라서 등록이 안됨
2024-10-21,차량번호 변경 부탁드립니다.
2024-10-21,차량번호 등록 요청 및 결제카드 등록 문의
2024-10-21,회원카드 차량번호(2건) 및 회원정보 수정 요청
2024-10-21,결제카드 등록 부탁드립니다.
2024-10-21,충전카드 차량번호 변경요청
2024-10-21,회원카드 차량번호 변경 부탁드립니다.
2024-10-20,중고차 구매 차량번호 중복
2024-10-20,카드를 분실했는데 재발급을 어떻게 해야하는지 모르겠습니다.
2024-10-20,휴게소 충전
2024-10-20,차량정보 변경 요청 드립니다.
2024-10-20,차량번호수정
2024-10-19,차량번호 수정
2024-10-19,기존 카드 삭제가 안되요
2024-10-19,충전카드 발급 문의요
2024-10-19,카드배송
2024-10-19,차량번호 등록 문의
2024-10-19,카드 분실
2024-10-19,카드등록
2024-10-18,회원 카드 배송문의
2024-10-18,차량 번호 등록 요청
2024-10-18,결제카드 등록 할려고하니 카드가 없습니다.
2024-10-18,10원단위 미만 절사 관련
2024-10-18,카드 재배송 요청드립니다.
2024-10-18,카드가 훼손되어 재발급요청드립니다
2024-10-18,차량정보 변경 요청 드립니다.
2024-10-18,카드발급신청 / 이미 등록되어 있는 번호 관련
2024-10-17,회원카드 발급 관련 문의
2024-10-17,중고차 구매건
2024-10-17,회원카드 발급
2024-10-17,영수증 출력이름 변경문의
2024-10-17,"카드 배송이 안된 것 같은데, 재발급 하고 싶습니다."
2024-10-17,환경부카드로 충전을 했는데 결제된 내역이 없습니다
2024-10-17,차량번호 등록이 필요합니다
2024-10-17,차량번호 수정부탁드립니다.
2024-10-17,충전카드 등록 문의
2024-10-17,이미 등록된 카드 입니다
2024-10-17,차번호변경시
2024-10-17,카드발급 후 미등록 회원 표시
2024-10-17,"이용요금 영수증 조회시 표출되는 공급가액,부가세 계산법 수정요청"
2024-10-17,이전 회사에 다닐때 사용한 법인 전기차를 제 전기차 환경부 카드에서 등록 해지하고싶습니다.
2024-10-17,결제카드 변경
2024-10-16,이전에 차량번호가 등록이 되어 있어 카드 발급을 못받고 있습니다.
2024-10-16,결제 카드 등록이 안됩니다 빠르게 해결 부탁드릴게요
2024-10-16,환경부카드앱에 등록하려니 정지된 카드라고 나와요
2024-10-16,충전요금 조회가 안됩니다
2024-10-16,차량번호 변경입니다
2024-10-16,내 차 무공해 확인이 안됩니다.
2024-10-16,차량번호 변경 요청
2024-10-16,차량번호 변경과 결제카드 등록
2024-10-16,차량번호 변경
2024-10-16,카드등록시 정지카드메시지 문제
2024-10-16,충전요금 공개 문의
2024-10-16,차량번호 변경 요청
2024-10-16,차량 번호 변경 요청
2024-10-16,기존 회원카드 재사용 가능문의(차량번호 변경)
2024-10-15,차량번호 변경 요청
2024-10-15,회원카드 차량 번호 수정
2024-10-15,중고차 등록
2024-10-15,차량번호 변경 요청
2024-10-15,차량번호 수정 입력 방법
2024-10-15,차량번호 입력 및 수정
2024-10-15,차량번호 변경
2024-10-15,중고차 차량 등록
2024-10-14,2022년 발급 회원카드와 현재 발급 회원카드와 차이가 있나요?
2024-10-14,차량 명의와 환경부 카드 명의가 달라도 되나요?
2024-10-14,결재가드등록 방법좀 알려 주세요
2024-10-14,회원카드 관련 입니다.
2024-10-14,회원카드 재발급 문의
2024-10-14,중고차 차량번호 등록이 안됩니다
2024-10-14,회원카드 재발급 문의
2024-10-14,회원카드에 결제카드 및 차량을 등록하려고 합니다.
2024-10-14,중고차 구입시 회원카드발급 안됩니다
2024-10-14,충전카드와 차량등록번호 해지해 주세요.
2024-10-14,차량번호 변경 문의
2024-10-13,차량번호 변경문의
2024-10-13,중고차 구매 후 차량번호 등록
2024-10-13,환경부 전기 충전 카드 회원 신청하고 카드 발급했는데........
2024-10-13,차량등록
2024-10-13,중고차 구입 후 차량번호 중복으로 인한 발급 제한
2024-10-13,중고차 구입 후 회원카드 등록 시 중복번호 문제
2024-10-13,회원카드 이용불가
2024-10-13,카드 회원정보 변경 및 결제카드 등록 문의
2024-10-12,환경부카드 등록 문제
2024-10-12,결제 카드 삭제 방법
2024-10-11,환경부카드 다시 신청했는데 배송주소 뒷부분 상세주소가 누락된거 같거든요 그리고 중고차 구매했는데 등록시 중복이라고 안되네요
2024-10-11,회원등록 인증이 되지 않은 카드라고 조회됩니다.
2024-10-11,차량 변경시 카드 교체여부
2024-10-11,회원카드 등록
2024-10-11,회원카드 분실후 재발급시 차량번호등록
2024-10-11,모바일 회원카드 발급
2024-10-11,공공충전인프라 멤버십카드 등록 요청
2024-10-11,중고차 구입후 차량번호중복
2024-10-11,환경부 전기차 카드 발급 관련 문의
2024-10-11,회원카드 차량번호 변경입니다.
2024-10-11,중고차 차량번호 중복 문의 드립니다.
2024-10-11,환경부 카드발급
2024-10-11,모바일 어플 로그인이 안되서 멤버십 카드 등록 불가
2024-10-10,회원카드 차량 등록 변경 방법 및 결제 카드 등록 방법 문의 건
2024-10-10,회원카드 재발급문의
2024-10-10,차량번호변경
2024-10-10,차량번호 변경요청
2024-10-10,카드 재발급
2024-10-10,중고차 구입 후 차량등록문제
2024-10-10,차량 번호 변경 요청 드립니다!!
2024-10-10,어플 상 회원카드가 보이지 않습니다.
2024-10-10,최신 업체별 급속/완속 전기차 충전소 설치 현황 자료 확인 방법
2024-10-10,중고차량 구입으로 인한 카드 신청 시 차량번호 중복 문제
2024-10-09,차량번호 변경 요청합니다.
2024-10-09,차량번호 변경 요청드립니다.
2024-10-09,카드분실로 재발급
2024-10-08,발급받은 충전카드가 보이지 않습니다
2024-10-08,카드를 신청했는데 결제카드등록이 안되서요
2024-10-08,결재카드 변경 요청
2024-10-08,전기차 충전카드 차량번호 수정 요청드립니다.
2024-10-08,결제카드등록
2024-10-08,보유중인 충전카드 해지 문의
2024-10-08,중고차 차량번호 중복등록
2024-10-08,차량번호 변경 요청합니다.
2024-10-08,차량번호 변경 요청드립니다.
2024-10-08,차량 번호 변경 신청합니다
2024-10-08,중고차 회원카드 등록 문의
2024-10-08,"환경부 카드 분실, 재발급 요청"
2024-10-08,차량번호
2024-10-07,중고차 구매 차량번호 중복
2024-10-07,"중고차 구매, 차량번호 중복"
2024-10-07,회원카드 차량번호 변경 요청
2024-10-07,차량번호 변경 요청드립니다.
2024-10-07,중복차량
2024-10-07,임시회원카드
2024-10-07,회원카드를 발급받았으나 결재카드 등록이 안됩니다.
2024-10-07,차량번호 변경 및 결제카드 등록 요청합니다
2024-10-07,차량번호 변경 요청 및 결제카드 등록 문의
2024-10-07,차량번호수정
2024-10-07,차량번호 수정요청
2024-10-07,차량번호 수정요청드립니다
2024-10-07,멤버쉽카드를 재발급받았는데 결제 등록에 안올라와서요
2024-10-07,차량번호 변경 부탁드립니다.
2024-10-07,중고차 구입후 카드발급.
2024-10-07,환경부카드 발급신청해서 8월말쯤에 등기로 발송했다고하는데 못받았어요
2024-10-07,결제카드 여러개 등록이 가능한지
2024-10-07,회원카드 사용 법
2024-10-07,결제카드 등록은?
2024-10-06,중고차 구매 후 카드 신청 시 중복 차량
2024-10-06,전기차 2대에 대한 카드
2024-10-06,실물카드 정지 해제
2024-10-06,결제카드 등록 문의드립니다.
2024-10-06,회원카드발급
2024-10-06,중고차 구입후 카드발급.
2024-10-06,카드신청을 하려는데요
2024-10-05,멤버쉽카드 결재카드 등록변경 후 충전시 실패로 뜸
2024-10-05,중복차량
2024-10-05,회원카드 배송시 본인 수령 질문
2024-10-05,차량번호 등록 요청
2024-10-05,중고차 구매 후 카드 발급시 중복된 차량번호
2024-10-05,모바일앱 사용에 대해서...
2024-10-05,차량번호 오기입에 따른 수정 요청 드립니다.
2024-10-05,플러그인 하이브리드 차량은 카드 발급 못받나요 ?
2024-10-05,중고차로 구매했는데 카드 발급받으려고하니 이미 등록된 차량번호라고뜹니다 .
2024-10-04,멤버쉽카드 등록
2024-10-04,차량번호 등록 및 결제카드등록 등 등록이 안됩니다
2024-10-04,정보 공개 신청은 어떻게 하나요?
2024-10-04,카드등록 및 차량번호 수정 부탁드립니다!
2024-10-04,결제 카드 등록
2024-10-04,회원카드정보수정
2024-10-04,회원카드발급
2024-10-04,차량번호 등록
2024-10-04,결제카드 변경버튼이 없어요.
2024-10-04,결제카드 등록
2024-10-04,회원카드 중복 삭제 요청
2024-10-04,카드중복 신청 취소 건
2024-10-03,신차구매로 기존 회원카드 정보 수정 관련
2024-10-03,중고차 구입 후 회원카드 신청
2024-10-02,임시차량넘버 변경건의합니다.
2024-10-02,임시 차량번호 변경
2024-10-02,회원카드발급
2024-10-02,회원카드 등록및 결제카드 등록문의
2024-10-02,결제계좌 변경은 어디서 하나요?
2024-10-02,임시번호로 발급받아서 카드등록이안됩니다.
2024-10-02,차량번호 변경 및 카드등록 관련 문의
2024-10-02,카드 재발급
2024-10-02,카드 등록이 안되요
2024-10-02,차량번호 변경
2024-10-02,"전기차 충전요금 업데이트 주기, 및 과거 충전요금 확인방법 문의"
2024-10-02,차량 번호 변경 불가 및 결제 카드 등록 불가
2024-10-02,차량번호 변경 요청드립니다.
2024-10-02,분실정지 철회
2024-10-02,결제카드을 등록하려고 하는데 목록에 발급된 카드가 안보입니다.
2024-10-02,다른 아이디 계정으로 회원등록카드 발급받은경우 제 아이디에서 결제카드 등록 할수 있을까요?
2024-10-01,중복된 차량번호는 등록할 수 없습니다
2024-10-01,"신규 카드 신청 시, 차량 종류 없음"
2024-10-01,회원카드 분실로 사용 중단 요청 문의합니다.
2024-10-01,차량번호 변경 문의 드립니다.
2024-10-01,연락처 변경
2024-10-01,번호 수정 요청드립니다
2024-10-01,카드재발급
